18.63,15.50,17.44
18.63,15.48,17.85
18.63,16.01,17.80
18.52,16.36,17.44
18.63,16.36,17.44
18.63,16.46,17.80
18.63,16.36,17.80
18.16,15.55,16.77
17.70,15.33,16.15
18.37,15.07,14.91
18.88,14.16,13.68
21.67,14.16,37.75
22.66,14.52,36.87
23.30,37.71,-1.00
100.38,35.31,-1.00
83.85,37.22,-1.00
103.04,36.39,-1.00
98.97,36.91,-1.00
24.42,48.66,-1.00
20.79,13.30,13.73
19.95,13.38,13.68
20.12,13.51,14.30
20.02,13.56,13.88
19.60,13.95,13.88
19.50,13.87,13.97
19.40,13.87,13.88
19.60,13.87,13.88
19.60,13.95,13.88
19.60,13.87,13.88
19.50,13.85,14.07
19.60,13.87,13.99
19.60,13.97,13.88
19.60,13.95,13.88
19.54,13.38,13.97
19.33,13.85,13.88
19.54,13.38,13.88
19.54,13.51,13.88
19.54,13.40,13.88
19.43,13.38,13.88
